mr,ref
"name[The Vaults], eatType[pub], priceRange[more than Â£30], customer rating[5 out of 5], near[CafÃ© Adriatic]",The Vaults pub near CafÃ© Adriatic has a 5 star rating.  Prices start at Â£30.
"name[The Cambridge Blue], eatType[pub], food[English], priceRange[cheap], near[CafÃ© Brazil]","Close to CafÃ© Brazil, The Cambridge Blue pub serves delicious Tuscan Beef for the cheap price of Â£10.50. Delicious Pub food."
"name[The Eagle], eatType[coffee shop], food[Japanese], priceRange[less than Â£20], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]",The Eagle is a low rated coffee shop near Burger King and the riverside that is family friendly and is less than Â£20 for Japanese food.
"name[The Mill], eatType[coffee shop], food[French], priceRange[Â£20-25], area[riverside], near[The Sorrento]","Located near The Sorrento is a French Theme eatery and coffee shop called The Mill, with a price range at Â£20-Â£25 it is in the riverside area."
"name[Loch Fyne], food[French], customer rating[high], area[riverside], near[The Rice Boat]","For luxurious French food, the Loch Fyne is located by the river next to The Rice Boat."
"name[Bibimbap House], food[English], priceRange[moderate], area[riverside], near[Clare Hall]",Bibimbap House is a moderately priced restaurant who's main cuisine is English food. You will find this local gem near Clare Hall in the Riverside area.
"name[The Rice Boat], food[French], customer rating[average], area[riverside], familyFriendly[no]",The Rice Boat is an adult French restaurant with high customer rating  located in the Riverside area.
"name[The Wrestlers], eatType[coffee shop], food[Japanese], priceRange[less than Â£20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Wrestlers coffee shop serves Japanese food.  It is situated near Raja Indian Cuisine at the riverside.  Prices are less than Â£20.  It is not family-friendly.
"name[Aromi], eatType[coffee shop], food[French], customer rating[low], area[city centre], familyFriendly[no]","In the city centre lies Aromi, a French coffee shop for adults with a low customer rating."
"name[The Phoenix], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside]",The Phoenix is a fast food place located in the riverside area. They have moderate pricing and a customer rating of 3 out of 5.
"name[Browns Cambridge], food[Fast food], area[riverside], familyFriendly[no], near[The Sorrento]",In the riverside area near The Sorrento is the Browns Cambridge. It is a Fast food restaurant.
"name[Loch Fyne], eatType[restaurant], food[English], familyFriendly[yes]",A child friendly restaurant that has English food is Loch Fyne.
"name[Taste of Cambridge], eatType[restaurant], priceRange[Â£20-25], customer rating[3 out of 5]",Taste of Cambridge is a restaurant with a customer rating of 3 out of 5 and and a price range of Â£20-Â£25
"name[Cocum], eatType[coffee shop], food[Italian], priceRange[cheap], customer rating[average], familyFriendly[yes]",For a family-Friendly coffee shop Cocum can serve you Italian food at affordable prices.  The customer rating however is only average.
"name[The Dumpling Tree], eatType[restaurant], food[Italian], priceRange[high]",The Dumpling Tree is an Italian restaurant with high prices.
"name[The Punter], food[Indian], priceRange[cheap]",The Punter provides Indian food in the cheap price range.
"name[The Golden Curry], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[CafÃ© Rouge]","The Golden Curry, a 5-star family friendly breakfast joint near the CafÃ© Rouge and near the river."
"name[The Phoenix], food[English], priceRange[high], customer rating[1 out of 5], area[city centre]","The Phoenix is located in the city centre. It offers English food, has a high price range, and a customer rating of one out of five."
"name[Alimentum], food[Fast food], priceRange[Â£20-25], customer rating[high], area[city centre], near[Yippee Noodle Bar]","Yippee Noodle Bar, near the Alimentum city centre is a fast food place with high customer rating, and has a price range of 20-25 euros"
"name[The Eagle], food[Chinese], customer rating[1 out of 5]",The Eagle is a restaurant that offers Chinese food though with a poor rating
"name[The Punter], priceRange[less than Â£20], area[city centre], familyFriendly[yes], near[The Portland Arms]",The Punter is located near The Portland Arms in the city centre. Their prices are less than Â£20 and they are family-friendly.
"name[The Mill], eatType[coffee shop], food[Italian], priceRange[more than Â£30], area[riverside], near[The Sorrento]",An Italian coffee shop called The Mill is at the riverside. It is near The Sorrento and its price range is more than Â£30.
"name[Midsummer House], food[Italian], priceRange[moderate], customer rating[3 out of 5], near[All Bar One]","Near All Bar One is a moderately priced Italian place, with a customer rating of 3 out of 5, it's called Midsummer House."
"name[The Rice Boat], food[English], priceRange[Â£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Rice Boat serves English food and is highly rated by its customers. The prices are average but it is easily located close to the Express by Holiday Inn in Riverside.
"name[Blue Spice], food[French], priceRange[more than Â£30], area[riverside]","Blue Spice, French food high price range in the riverside area."
"name[Strada], eatType[pub], food[Italian], customer rating[5 out of 5], near[Yippee Noodle Bar]",There is a pub called Strada which serves Italian food. It's near Yippee Noodle Bar and has a 5 out of 5 customer rating.
"name[Alimentum], food[Chinese], priceRange[high], customer rating[average], area[riverside], near[Yippee Noodle Bar]",Alimentum features Chinese food with average customer ratings at a high price.  It is located in riverside near Yippee Noodle Bar.
"name[The Cambridge Blue], eatType[pub], food[Chinese], priceRange[Â£20-25], near[CafÃ© Brazil]",The Cambridge Blue is a pub located near CafÃ© Brazil. It offers Chinese food in the range of Â£20-Â£25.
"name[The Waterman], eatType[pub], food[Fast food], customer rating[5 out of 5], area[riverside]",The Waterman is a fast food serving pub by the river which has received high reviews.
"name[Bibimbap House], food[English], priceRange[less than Â£20], area[riverside], near[Clare Hall]",Bibimbap House is a restaurant providing dine in meals in the low price range. It is located in at Clare Hall.
"name[Zizzi], eatType[pub], food[French], customer rating[3 out of 5], familyFriendly[yes]","A pub named Zizzi has a customer rating of 3 out of 5, serves French cuisine, and is kid friendly."
"name[Alimentum], food[Italian], priceRange[less than Â£20], area[riverside], familyFriendly[no]","Located outside Cambridge City Centre is Alimentum, a cheap, not child friendly eatery."
"name[The Wrestlers], eatType[coffee shop], food[Italian], priceRange[more than Â£30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",A coffee shop that is kid friendly near Raja Indian Cuisine named The Wrestlers in the riverside area has a price range of more than Â£30 that serves Italian food.
"name[The Golden Curry], food[English], priceRange[high], familyFriendly[no], near[The Bakers]",The Golden Curry offers English food at a high price. It is near The Bakers. It should be noted that it is not kids friendly.
"name[Green Man], food[French], priceRange[more than Â£30], area[city centre], familyFriendly[no], near[All Bar One]",Green Man is a French restaurant in the city centre. It is not child friendly and is located near All Bar One. It costs more than thirty pounds.
"name[The Waterman], priceRange[less than Â£20], familyFriendly[no]",The Waterman is not family-friendly and has a price range of less than Â£20.
"name[Zizzi], eatType[restaurant], priceRange[more than Â£30], area[riverside]",In the riverside area is the Zizzi restaurant prices ranging more than Â£30
"name[The Golden Curry], food[Indian], customer rating[average], area[riverside], familyFriendly[no], near[CafÃ© Rouge]",The Golden Curry is a non family friendly Indian restaurant  with an average rating located in the riverside area near CafÃ© Rouge.
"name[The Dumpling Tree], eatType[restaurant], food[Japanese], priceRange[more than Â£30]",The Dumpling Tree is a Japanese restaurant that has a price range of more than Â£30.
"name[The Punter], eatType[coffee shop], food[Japanese], priceRange[less than Â£20], customer rating[low], familyFriendly[yes], near[CafÃ© Sicilia]",The Punter coffee shop is a family friendly with less than Â£20 price range serves Japanese food near CafÃ© Sicilia has a low customer rating.
"name[Clowns], eatType[coffee shop], food[Italian], customer rating[average], area[riverside], near[Clare Hall]",Clowns coffee Shop near Clare Hall in Riverside has fine Italian food and an average customer rating.
"name[The Dumpling Tree], eatType[pub], food[Japanese], familyFriendly[no], near[The Portland Arms]",The Dumpling Tree pub is not a family restaurant.  It is located near The Portland Arms.
"name[Blue Spice], eatType[coffee shop], priceRange[more than Â£30], customer rating[low], area[riverside], familyFriendly[no], near[Avalon]",Blue Spice is a coffee shop along the river near Avalon. The prices are quite high while the customer ratings are quite low. It is not recommended to take children there.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes]","On the riverside the Giraffe is a Fast food, kid friendly pub."
"name[Browns Cambridge], food[English], area[riverside], familyFriendly[yes], near[The Sorrento]","Browns Cambridge is a English food, kid friendly restaurant in the riverside area. It is near The Sorrento."
"name[Cocum], eatType[coffee shop], food[Italian], priceRange[Â£20-25], customer rating[high], familyFriendly[yes]","Cocum is a well-respected Italian coffee shop, offering food at the higher price range. It is child-friendly."
"name[The Punter], eatType[coffee shop], food[Italian], priceRange[cheap], customer rating[average], familyFriendly[yes], near[CafÃ© Sicilia]",Italian family friendly near CafÃ© Sicilia is The Punter which is a cheap coffee shop with average rating.
"name[The Olive Grove], eatType[pub], food[Indian], priceRange[moderate], area[riverside], familyFriendly[no]","There is a pub that is moderate priced called The Olive Grove in the Riverside area, that serves Indian food and is not child friendly."
"name[Giraffe], eatType[restaurant], priceRange[more than Â£30], near[The Six Bells]","For those prepared to pay over Â£30, Giraffe is a restaurant located near The Six Bells."
"name[Cocum], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes]",A child friendly restaurant called Cocum is 3 out of 5.
"name[The Twenty Two], food[Italian], familyFriendly[yes]",The Twenty Two is Italian and  child friendly.
"name[The Cricketers], eatType[pub], customer rating[5 out of 5], familyFriendly[yes], near[Ranch]",There is a 5 out of 5 customer rated child friendly pub located near a Ranch called The Cricketers.
"name[The Eagle], eatType[coffee shop], food[French], priceRange[more than Â£30], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Burger King]",A good coffee shop that received a customer rating of 5 out of 5 is The Eagle. It is in the riverside area near the Burger King. It costs more than 30 pounds and is kid friendly.
"name[Blue Spice], eatType[coffee shop], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Avalon]","Blue Spice is a cheap coffee shop located  in the riverside, near Avalon."
"name[Browns Cambridge], eatType[coffee shop], food[French], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Near Crowne Plaza Hotel, in the centre of the city is Browns Cambridge. It is a French coffee shop that is rated average and not family-friendly."
"name[The Golden Curry], food[Indian], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[CafÃ© Rouge]",The Golden Curry is a 3 out of 5 Indian food place. It is kid friendly and located in the riverside area near CafÃ© Rouge.
"name[Wildwood], eatType[pub], food[Italian], priceRange[high], customer rating[1 out of 5]",Wildwood public house is a one star establishment which serves food.
"name[The Golden Curry], food[Italian], priceRange[less than Â£20], familyFriendly[yes], near[The Bakers]",There is a family friendly restaurant The Golden Curry near The Bakers.  It is inexpensive.
"name[The Rice Boat], food[Italian], customer rating[low], area[riverside], familyFriendly[yes]","North of the city centre, overlooking the river, is a family restaurant named The Rice Boat. It serves Italian food and is rated 1 star."
"name[Strada], food[Chinese], priceRange[less than Â£20], customer rating[low], familyFriendly[yes], near[Rainbow Vegetarian CafÃ©]","The Strada is located near the Rainbow Vegetarian CafÃ©. It serves Chinese, is cheap, family friendly and low rated."
"name[Alimentum], food[Fast food], priceRange[less than Â£20], area[city centre], familyFriendly[no]",Alimentum providing fast food less than Â£20 price range. It is located in city center.
"name[Blue Spice], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes]","In the riverside area, Blue Spice is family friendly, cheap and has an average customer rating."
"name[Alimentum], food[Fast food], priceRange[more than Â£30], area[riverside], familyFriendly[yes]",Alimentum is Fast food. They are children friendly. The price range is cheap and located near riverside.
"name[The Golden Palace], eatType[coffee shop], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre]",The Golden Palace is a cheap Italian coffee shop that is located in the city centre. It has a customer rating of 5 out of 5.
"name[Loch Fyne], eatType[restaurant], food[Chinese], familyFriendly[yes]",Loch Fyne is a children friendly restaurant that serves Chinese food.
"name[The Cricketers], eatType[coffee shop], food[Fast food], customer rating[5 out of 5], familyFriendly[yes], near[The Portland Arms]",The Cricketers is a five star coffee shop located near The Portland Arms.
"name[Cocum], eatType[coffee shop], food[Japanese], priceRange[more than Â£30], customer rating[low], familyFriendly[no]",Cocum for coffee shop offers Fast food for cheap price for kids Friendly.
"name[Browns Cambridge], food[Fast food], priceRange[moderate], customer rating[1 out of 5]","Browns Cambridge serves fast food for a moderate price, customers have given it a poor rating"
"name[The Golden Palace], eatType[coffee shop], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside]","A coffee shop located on the riverside called The Golden Palace, has a 5 out of 5 customer rating. its price range are fairly cheap for it's excellent Fast food."
"name[The Waterman], food[English], priceRange[more than Â£30], customer rating[high], area[city centre], familyFriendly[yes]",The Waterman serves English food costing more that Â£30 and has a high customer rating. It is located in the city centre and has a children friendly atmosphere.
"name[Loch Fyne], food[Indian], customer rating[average], area[city centre], near[The Rice Boat]",Loch Fyne serves average Indian food in the city centre near The Rice Boat.
"name[The Golden Curry], food[Italian], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[CafÃ© Rouge]",The Golden Curry is near CafÃ© Rouge with will serve you with some lovely Italian food with in the city center with a rating of 5 out of 5 stars. no children please.
"name[Blue Spice], priceRange[Â£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no]","Blue Spice in riverside was rate 3 out of 5 and has an average price range of Â£20-25, however it is not kid friendly."
"name[The Olive Grove], eatType[pub], food[French], priceRange[less than Â£20], area[riverside], familyFriendly[yes]","The Olive Grove is an inexpensive, family-friendly pub serving wine and cheese."
"name[Giraffe], eatType[coffee shop], priceRange[moderate], customer rating[3 out of 5], familyFriendly[yes], near[The Bakers]","Giraffe is a moderately-priced, child-friendly coffee shop that is located near The Bakers and has a customer rating of 3 out of 5."
"name[Blue Spice], food[Japanese], priceRange[moderate], area[riverside]",Blue Spice is a restaurant that cooks Japanese food it is located by the riverside and the price range is moderate
"name[The Cambridge Blue], eatType[restaurant], food[Chinese], customer rating[high]",The Cambridge Blue is a restaurant that provides Chinese food Its customer rating is high.
"name[The Waterman], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","In the centre of the city, there is a restaurant called The Waterman.  It is a highly recommended, yet inexpensive, restaurant for families."
"name[The Golden Palace], eatType[coffee shop], food[Italian], priceRange[high], customer rating[average], area[riverside]",The Golden Palace is a coffee shop that provides Italian. It is located by the riverside with an average customer rating and a high price range.
"name[The Waterman], food[Italian], familyFriendly[yes], near[Crowne Plaza Hotel]",The Waterman is a site for eat Italian food.
"name[Blue Spice], priceRange[Â£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no]","Blue Spice is not kid friendly, but has been rated 3 out of 5 by customers. It is located in riverside and has an average price range of Â£20-25."
"name[Midsummer House], food[Italian], priceRange[high], customer rating[average], near[All Bar One]",Midsummer House is located near the All Bar One and is in the high price range.
"name[The Rice Boat], food[Italian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",The Rice Boat is near Express by Holiday Inn in city centre. It is kids friendly.
"name[Strada], food[Japanese], priceRange[more than Â£30], customer rating[low], familyFriendly[yes], near[Rainbow Vegetarian CafÃ©]",Children friendly Japanese food Strada which has low customer rating and price range more than Â£30 is served near Rainbow Vegetarian CafÃ©.
"name[The Olive Grove], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes]","The Olive Grove serves English food, it is near the riverside, kid friendly and moderately priced."
"name[The Phoenix], food[Fast food], customer rating[low], area[city centre]",The Phoenix is a fast food restaurant in Luton offering budget food.
"name[Clowns], eatType[pub], priceRange[high], customer rating[3 out of 5], area[riverside]",wine and spirits 3 star pub relax by the river at Clowns pub.
"name[Green Man], food[Japanese], priceRange[Â£20-25], area[riverside], familyFriendly[yes], near[All Bar One]",Near All Bar One in the riverside area is kid friendly Green Man. The price range is between Â£20-25.
"name[The Wrestlers], eatType[coffee shop], food[Italian], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers coffee shop is located in the riverside area near the Raja Indian Cuisine. It serves Italian food with a moderate price range and is kids-Friendly.
"name[The Golden Curry], food[English], customer rating[low], familyFriendly[yes]",The Golden Curry serves English food in a family friendly environment. It has a low customer rating.
"name[The Rice Boat], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no]","With 5 out of 5 as a customer rating, The Rice Boat is a non family-friendly, English restaurant located on riverside."
"name[The Cambridge Blue], eatType[restaurant], food[English], customer rating[5 out of 5]","The Cambridge Blue serves traditional English food, and has been given a rating of five stars."
"name[The Golden Palace], eatType[restaurant], priceRange[cheap]",The Golden Palace is in the cheap price range. It is a restaurant
"name[Midsummer House], food[Indian], customer rating[low], near[CafÃ© Rouge]",Located near CafÃ© Rouge Midsummer House is an Indian restaurant with a poor customer rating.
"name[Alimentum], food[English], priceRange[high], area[riverside], familyFriendly[no]",Alimentum is located in the riverside area and features high priced English food and is not kid friendly.
"name[Clowns], eatType[coffee shop], food[Japanese], customer rating[5 out of 5], area[riverside], near[Clare Hall]",Clowns is a Japanese coffee shop with 5 out of 5 customer ratings located near Clare Hall in the riverside area.
"name[The Rice Boat], food[English], priceRange[Â£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Rice Boat, in the riverside area, near Express by Holiday Inn, has English food, is kids friendly, has a high customer rating, and has a price range between 20 and 25 pounds."
"name[The Waterman], food[Italian], priceRange[less than Â£20], customer rating[low], area[city centre], familyFriendly[no]",The Waterman is located in the city center. It is a low rated Italian restaurant that is not family-friendly and costs more than 20.
"name[The Plough], eatType[pub], food[Italian], priceRange[high], familyFriendly[no], near[CafÃ© Rouge]","The Plough, near CafÃ© Rouge, is a pub serving Italian food. It is not children friendly and in the high price range."
"name[The Phoenix], food[Chinese], priceRange[cheap], customer rating[average], area[riverside]",There is a Chinese food restaurant called The Phoenix in the riverside area. It has an average customer rating and the price range is cheap.
